x,X,Enter_Participant_ID,date,psychopyVersion,item,clicks,objects,target_pos,probe_obj,probe_p1,probe_p2,probe_p3,probe_p4,probe_p5,probe_p6,probe_p7,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_p9,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,corr_p7,corr_p8,corr_p9,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,P1T_rectangle,P2T_rectangle,P3T_rectangle,P4T_rectangle,P5T_rectangle,P6T_rectangle,P7T_rectangle,P8T_rectangle,P9T_rectangle,P10T_rectangle,P11T_rectangle,P12T_rectangle,P13T_rectangle,P14T_rectangle,P15T_rectangle,P16T_rectangle,P17T_rectangle,P18T_rectangle,P19T_rectangle,P20T_rectangle,presented,start,end,rt,accuracy,totaltime
107,41,T9999,2024-01-09_10h23.18.270,2022.2.5,item_33,4,10,"2,3,6,7",p1_p18_p19_p20,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_541.png,None,None,colored PNG/PICTURE_67.png,colored PNG/PICTURE_475.png,colored PNG/PICTURE_35.png,None,None,colored PNG/PICTURE_238.png,colored PNG/PICTURE_338.png,None,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_707.png,None,None,None,None,None,None,colored PNG/PICTURE_64.png,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,colored PNG/PICTURE_475.png,colored PNG/PICTURE_541.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,67.68039054,NA,0,0,66.35293321
108,42,T9999,2024-01-09_10h23.18.270,2022.2.5,item_34,4,10,"2,3,6,7",p1_p9_p19_p20,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_707.png,colored PNG/PICTURE_707.png,None,None,colored PNG/PICTURE_338.png,colored PNG/PICTURE_165.png,None,None,colored PNG/PICTURE_475.png,colored PNG/PICTURE_64.png,None,None,None,None,None,None,colored PNG/PICTURE_541.png,colored PNG/PICTURE_67.png,colored PNG/PICTURE_238.png,colored PNG/PICTURE_35.png,colored PNG/PICTURE_69.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,67.75182162,NA,0,0,66.35293321
109,3,T9999,2024-01-09_10h25.41.851,2022.2.5,sample1,1,NA,,,colored PNG/PICTURE_203.png,None,None,None,,,,None,colored PNG/PICTURE_203.png,colored PNG/PICTURE_508.png,None,None,None,,,,,,,,,,,,,,,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.191281083,6.983557333,1.79227625,1,362.2194349
110,6,T9999,2024-01-09_10h25.41.851,2022.2.5,item01,1,2,test_p3,p3,colored PNG/PICTURE_78.png,,,,,,,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_78.png,None,None,None,None,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.08964658,15.92339442,1.833747834,1,362.2194349
111,7,T9999,2024-01-09_10h25.41.851,2022.2.5,item02,1,2,test_p2,p2,colored PNG/PICTURE_423.png,,,,,,,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_695.png,None,None,None,None,None,None,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19.78111292,21.25938788,1.478274958,1,362.2194349
112,8,T9999,2024-01-09_10h25.41.851,2022.2.5,item03,1,2,test_p3,p3,colored PNG/PICTURE_264.png,,,,,,,None,colored PNG/PICTURE_285.png,colored PNG/PICTURE_264.png,None,None,None,None,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25.12082342,27.62553921,2.504715791,1,362.2194349
113,9,T9999,2024-01-09_10h25.41.851,2022.2.5,item04,1,3,test_p4,p4,colored PNG/PICTURE_423.png,,,,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_353.png,None,None,None,None,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,31.6134995,33.11665413,1.503154625,1,362.2194349
114,10,T9999,2024-01-09_10h25.41.851,2022.2.5,item05,1,3,test_p5,p5,colored PNG/PICTURE_695.png,,,,,,,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_695.png,None,None,None,None,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37.06781321,39.36738025,2.299567042,1,362.2194349
115,11,T9999,2024-01-09_10h25.41.851,2022.2.5,item06,1,3,test_p1,p1,colored PNG/PICTURE_353.png,,,,,,,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_423.png,None,None,None,None,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,43.31809558,45.29605696,1.977961375,1,362.2194349
116,12,T9999,2024-01-09_10h25.41.851,2022.2.5,item07,1,4,test_p3,p3,colored PNG/PICTURE_285.png,,,,,,,None,colored PNG/PICTURE_264.png,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_695.png,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49.27218363,50.98414013,1.7119565,1,362.2194349
117,13,T9999,2024-01-09_10h25.41.851,2022.2.5,item08,1,4,test_p2,p2,colored PNG/PICTURE_78.png,,,,,,,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_695.png,colored PNG/PICTURE_423.png,None,None,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,54.81733063,56.32866021,1.511329583,1,362.2194349
118,14,T9999,2024-01-09_10h25.41.851,2022.2.5,item09,1,5,test_p9,p9,colored PNG/PICTURE_285.png,,,,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_695.png,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_285.png,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60.18336275,62.45765354,2.274290792,1,362.2194349
119,16,T9999,2024-01-09_10h25.41.851,2022.2.5,sample2,None,NA,,,None,colored PNG/PICTURE_122.png,colored PNG/PICTURE_268.png,None,,,,None,colored PNG/PICTURE_122.png,colored PNG/PICTURE_446.png,None,None,colored PNG/PICTURE_268.png,colored PNG/PICTURE_324.png,,,,,,,,,,,,,,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,69.48266829,72.31109363,2.828425333,1,362.2194349
120,18,T9999,2024-01-09_10h25.41.851,2022.2.5,item_10,2,4,2.3,p3_p6,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_3.png,None,None,None,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80.86640321,83.72815708,2.861753875,1,362.2194349
121,19,T9999,2024-01-09_10h25.41.851,2022.2.5,item_11,2,4,2.3,p2_p6,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_190.png,None,None,None,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_585.png,None,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_3.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,89.58256963,93.32431029,3.741740667,1,362.2194349
122,20,T9999,2024-01-09_10h25.41.851,2022.2.5,item_12,2,4,2.3,p6_p7,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_360.png,None,None,None,None,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,99.3336625,102.7205173,3.38685475,1,362.2194349
123,21,T9999,2024-01-09_10h25.41.851,2022.2.5,item_13,2,4,2.3,p3_p6,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,None,None,None,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_672.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,108.6811455,112.4286953,3.747549708,1,362.2194349
124,22,T9999,2024-01-09_10h25.41.851,2022.2.5,item_14,2,5,2.3,p8_p9,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_360.png,None,None,None,None,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_3.png,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,118.3483725,122.6806388,4.332266292,1,362.2194349
125,23,T9999,2024-01-09_10h25.41.851,2022.2.5,item_15,2,5,2.3,p1_p8,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_190.png,None,None,None,None,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_3.png,None,None,None,None,None,None,None,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,128.6722775,134.0874103,5.41513275,1,362.2194349
126,24,T9999,2024-01-09_10h25.41.851,2022.2.5,item_16,2,6,2.3,p6_p7,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_3.png,None,None,None,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,140.2425183,143.4995418,3.257023458,1,362.2194349
127,25,T9999,2024-01-09_10h25.41.851,2022.2.5,item_17,2,6,2.3,p3_p6,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_585.png,None,None,None,None,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_360.png,None,None,None,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,149.3719932,152.0938079,2.721814667,1,362.2194349
128,26,T9999,2024-01-09_10h25.41.851,2022.2.5,item_18,2,6,2.3,p7_p10,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_360.png,None,None,None,None,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_190.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,158.0474691,162.491198,4.443728917,1,362.2194349
129,27,T9999,2024-01-09_10h25.41.851,2022.2.5,item_19,3,5,"1,4,5",p1_p8_p9,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_100.png,colored PNG/PICTURE_430.png,None,None,colored PNG/PICTURE_100.png,None,None,colored PNG/PICTURE_448.png,colored PNG/PICTURE_1.png,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_90.png,None,None,None,None,None,None,None,None,None,None,None,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,168.3791289,173.1819812,4.802852333,1,362.2194349
130,28,T9999,2024-01-09_10h25.41.851,2022.2.5,item_20,3,5,"1,4,5",p1_p5_p8,colored PNG/PICTURE_358.png,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_448.png,None,None,colored PNG/PICTURE_23.png,None,None,colored PNG/PICTURE_90.png,colored PNG/PICTURE_358.png,None,None,colored PNG/PICTURE_448.png,colored PNG/PICTURE_91.png,None,None,None,None,None,None,None,None,None,None,None,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,179.0187951,184.1722479,5.153452792,1,362.2194349
131,29,T9999,2024-01-09_10h25.41.851,2022.2.5,item_21,3,5,"1,4,5",p1_p8_p9,colored PNG/PICTURE_91.png,None,None,colored PNG/PICTURE_358.png,colored PNG/PICTURE_1.png,None,None,colored PNG/PICTURE_1.png,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_448.png,None,None,colored PNG/PICTURE_358.png,colored PNG/PICTURE_91.png,None,None,None,None,None,None,None,None,None,None,None,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,189.9974686,196.9849499,6.987481292,1,362.2194349
132,30,T9999,2024-01-09_10h25.41.851,2022.2.5,item_22,3,6,"1,4,5",p3_p6_p11,colored PNG/PICTURE_91.png,None,None,colored PNG/PICTURE_100.png,colored PNG/PICTURE_23.png,None,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_100.png,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_1.png,None,None,colored PNG/PICTURE_90.png,colored PNG/PICTURE_91.png,None,None,None,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,202.8770428,207.8197223,4.9426795,1,362.2194349
133,31,T9999,2024-01-09_10h25.41.851,2022.2.5,item_23,3,6,"1,4,5",p2_p10_p11,colored PNG/PICTURE_91.png,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_448.png,None,None,None,colored PNG/PICTURE_448.png,colored PNG/PICTURE_100.png,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_91.png,colored PNG/PICTURE_23.png,None,None,None,None,None,None,None,None,None,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,213.7366923,221.8785322,8.141839958,1,362.2194349
134,32,T9999,2024-01-09_10h25.41.851,2022.2.5,item_24,3,6,"1,4,5",p2_p6_p7,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_100.png,colored PNG/PICTURE_1.png,None,None,None,colored PNG/PICTURE_1.png,colored PNG/PICTURE_358.png,None,None,colored PNG/PICTURE_100.png,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_91.png,None,None,None,None,None,None,None,None,None,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,227.8226134,231.5515192,3.72890575,1,362.2194349
135,33,T9999,2024-01-09_10h25.41.851,2022.2.5,item_25,3,6,"1,4,5",p2_p6_p10,colored PNG/PICTURE_358.png,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_448.png,None,None,None,colored PNG/PICTURE_358.png,colored PNG/PICTURE_1.png,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_430.png,None,None,colored PNG/PICTURE_448.png,colored PNG/PICTURE_100.png,None,None,None,None,None,None,None,None,None,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,237.4427194,241.5061569,4.0634375,1,362.2194349
136,34,T9999,2024-01-09_10h25.41.851,2022.2.5,item_26,3,6,"1,4,5",p6_p7_p10,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_448.png,None,None,None,colored PNG/PICTURE_358.png,colored PNG/PICTURE_91.png,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_448.png,colored PNG/PICTURE_1.png,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,249.0502121,253.42908,4.378867875,1,362.2194349
137,35,T9999,2024-01-09_10h25.41.851,2022.2.5,item_27,3,8,"1,4,5",p3_p7_p15,colored PNG/PICTURE_91.png,None,None,colored PNG/PICTURE_358.png,colored PNG/PICTURE_430.png,None,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_430.png,None,None,colored PNG/PICTURE_448.png,colored PNG/PICTURE_358.png,None,None,None,None,colored PNG/PICTURE_1.png,colored PNG/PICTURE_90.png,colored PNG/PICTURE_100.png,colored PNG/PICTURE_91.png,None,None,None,None,None,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,259.5894338,263.9168758,4.327442042,1,362.2194349
138,36,T9999,2024-01-09_10h25.41.851,2022.2.5,item_28,3,8,"1,4,5",p7_p13_p14,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_100.png,colored PNG/PICTURE_1.png,None,None,None,colored PNG/PICTURE_358.png,colored PNG/PICTURE_448.png,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_100.png,None,None,None,None,colored PNG/PICTURE_23.png,colored PNG/PICTURE_1.png,colored PNG/PICTURE_90.png,colored PNG/PICTURE_91.png,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,269.878369,274.7563073,4.877938333,1,362.2194349
139,37,T9999,2024-01-09_10h25.41.851,2022.2.5,item_29,4,6,"2,3,6,7",p6_p7_p10_p11,None,colored PNG/PICTURE_541.png,colored PNG/PICTURE_238.png,None,None,colored PNG/PICTURE_707.png,colored PNG/PICTURE_338.png,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_238.png,colored PNG/PICTURE_707.png,None,None,colored PNG/PICTURE_541.png,colored PNG/PICTURE_338.png,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,NA,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,280.7587528,286.9211285,6.162375709,0,362.2194349
140,38,T9999,2024-01-09_10h25.41.851,2022.2.5,item_30,4,6,"2,3,6,7",p2_p7_p10_p11,None,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,None,None,colored PNG/PICTURE_338.png,colored PNG/PICTURE_475.png,None,colored PNG/PICTURE_338.png,colored PNG/PICTURE_69.png,None,None,colored PNG/PICTURE_35.png,colored PNG/PICTURE_165.png,None,None,colored PNG/PICTURE_475.png,colored PNG/PICTURE_67.png,None,None,None,None,None,None,None,None,None,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,293.0036704,301.0609183,8.057247875,1,362.2194349
141,39,T9999,2024-01-09_10h25.41.851,2022.2.5,item_31,4,8,"2,3,6,7",p2_p6_p12_p13,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_165.png,colored PNG/PICTURE_67.png,None,colored PNG/PICTURE_64.png,colored PNG/PICTURE_707.png,None,None,colored PNG/PICTURE_67.png,colored PNG/PICTURE_35.png,None,None,None,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_165.png,colored PNG/PICTURE_541.png,colored PNG/PICTURE_238.png,None,None,None,None,None,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,307.1670846,314.7811722,7.614087542,1,362.2194349
142,40,T9999,2024-01-09_10h25.41.851,2022.2.5,item_32,4,8,"2,3,6,7",p7_p12_p14_p15,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_64.png,None,None,colored PNG/PICTURE_238.png,colored PNG/PICTURE_475.png,None,colored PNG/PICTURE_165.png,colored PNG/PICTURE_541.png,None,None,colored PNG/PICTURE_707.png,colored PNG/PICTURE_238.png,None,None,None,None,colored PNG/PICTURE_69.png,colored PNG/PICTURE_338.png,colored PNG/PICTURE_64.png,colored PNG/PICTURE_475.png,None,None,None,None,None,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,320.7608766,326.7492087,5.988332083,1,362.2194349
